,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,brand,target
0,8,307,130,3504,12,70,USA,Chevrolet,18.0
1,8,350,165,3693,11,70,USA,Buick,15.0
2,8,318,150,3436,11,70,USA,Plymouth,18.0
3,8,304,150,3433,12,70,USA,Amc,16.0
4,8,302,140,3449,10,70,USA,Ford,17.0
5,8,429,198,4341,10,70,USA,Ford,15.0
6,8,454,220,4354,9,70,USA,Chevrolet,14.0
7,8,440,215,4312,8,70,USA,Plymouth,14.0
8,8,455,225,4425,10,70,USA,Pontiac,14.0
9,8,390,190,3850,8,70,USA,Amc,15.0
10,8,383,170,3563,10,70,USA,Dodge,15.0
11,8,340,160,3609,8,70,USA,Plymouth,14.0
12,8,400,150,3761,9,70,USA,Chevrolet,15.0
13,8,455,225,3086,10,70,USA,Buick,14.0
14,4,113,95,2372,15,70,Japan,Toyota,24.0
15,6,198,95,2833,15,70,USA,Plymouth,22.0
16,6,199,97,2774,15,70,USA,Amc,18.0
17,6,200,85,2587,16,70,USA,Ford,21.0
18,4,97,88,2130,14,70,Japan,Datsun,27.0
19,4,97,46,1835,20,70,Europe,Vw,26.0
20,4,110,87,2672,17,70,Europe,Peugeot,25.0
21,4,107,90,2430,14,70,Europe,Audi,24.0
22,4,104,95,2375,17,70,Europe,Saab,25.0
23,4,121,113,2234,12,70,Europe,Bmw,26.0
24,6,199,90,2648,15,70,USA,Amc,21.0
25,8,360,215,4615,14,70,USA,Ford,10.0
26,8,307,200,4376,15,70,USA,Chevrolet,10.0
27,8,318,210,4382,13,70,USA,Dodge,11.0
28,8,304,193,4732,18,70,USA,Hi,9.0
29,4,97,88,2130,14,71,Japan,Datsun,27.0
30,4,140,90,2264,15,71,USA,Chevrolet,28.0
31,4,113,95,2228,14,71,Japan,Toyota,25.0
32,4,98,83,2046,19,71,USA,Ford,25.0
33,6,232,100,2634,13,71,USA,Amc,19.0
34,6,225,105,3439,15,71,USA,Plymouth,16.0
35,6,250,100,3329,15,71,USA,Chevrolet,17.0
36,6,250,88,3302,15,71,USA,Ford,19.0
37,6,232,100,3288,15,71,USA,Amc,18.0
38,8,350,165,4209,12,71,USA,Chevrolet,14.0
39,8,400,175,4464,11,71,USA,Pontiac,14.0
40,8,351,153,4154,13,71,USA,Ford,14.0
41,8,318,150,4096,13,71,USA,Plymouth,14.0
42,8,383,180,4955,11,71,USA,Dodge,12.0
43,8,400,170,4746,12,71,USA,Ford,13.0
44,8,400,175,5140,12,71,USA,Pontiac,13.0
45,6,258,110,2962,13,71,USA,Amc,18.0
46,4,140,72,2408,19,71,USA,Chevrolet,22.0
47,6,250,100,3282,15,71,USA,Pontiac,19.0
48,6,250,88,3139,14,71,USA,Ford,18.0
49,4,122,86,2220,14,71,USA,Mercury,23.0
50,4,116,90,2123,14,71,Europe,Opel,28.0
51,4,79,70,2074,19,71,Europe,Peugeot,30.0
52,4,88,76,2065,14,71,Europe,Fiat,30.0
53,4,71,65,1773,19,71,Japan,Toyota,31.0
54,4,72,69,1613,18,71,Japan,Datsun,35.0
55,4,97,60,1834,19,71,Europe,Vw,27.0
56,4,91,70,1955,20,71,USA,Plymouth,26.0
57,4,113,95,2278,15,72,Japan,Toyota,24.0
58,4,97,80,2126,17,72,USA,Dodge,25.0
59,4,97,54,2254,23,72,Europe,Vw,23.0
60,4,140,90,2408,19,72,USA,Chevrolet,20.0
61,4,122,86,2226,16,72,USA,Ford,21.0
62,8,350,165,4274,12,72,USA,Chevrolet,13.0
63,8,400,175,4385,12,72,USA,Pontiac,14.0
64,8,318,150,4135,13,72,USA,Plymouth,15.0
65,8,351,153,4129,13,72,USA,Ford,14.0
66,8,304,150,3672,11,72,USA,Amc,17.0
67,8,429,208,4633,11,72,USA,Mercury,11.0
68,8,350,155,4502,13,72,USA,Buick,13.0
69,8,350,160,4456,13,72,USA,Oldsmobile,12.0
70,8,400,190,4422,12,72,USA,Chrysler,13.0
71,3,70,97,2330,13,72,Japan,Mazda,19.0
72,8,304,150,3892,12,72,USA,Amc,15.0
73,8,307,130,4098,14,72,USA,Chevrolet,13.0
74,8,302,140,4294,16,72,USA,Ford,13.0
75,8,318,150,4077,14,72,USA,Plymouth,14.0
76,4,121,112,2933,14,72,Europe,Volvo,18.0
77,4,121,76,2511,18,72,Europe,Vw,22.0
78,4,120,87,2979,19,72,Europe,Peugeot,21.0
79,4,96,69,2189,18,72,Europe,Renault,26.0
80,4,122,86,2395,16,72,USA,Ford,22.0
81,4,97,92,2288,17,72,Japan,Datsun,28.0
82,4,120,97,2506,14,72,Japan,Toyota,23.0
83,4,98,80,2164,15,72,USA,Dodge,28.0
84,4,97,88,2100,16,72,Japan,Toyota,27.0
85,8,350,175,4100,13,73,USA,Buick,13.0
86,8,304,150,3672,11,73,USA,Amc,14.0
87,8,350,145,3988,13,73,USA,Chevrolet,13.0
88,8,302,137,4042,14,73,USA,Ford,14.0
89,8,318,150,3777,12,73,USA,Dodge,15.0
90,8,429,198,4952,11,73,USA,Mercury,12.0
91,8,400,150,4464,12,73,USA,Chevrolet,13.0
92,8,351,158,4363,13,73,USA,Ford,13.0
